id,calories,proteins,fat,carbohydrate,name,image,recipe
755,181.0,4.0,1.2,37.3,Ketan hitam matang,https://asset.kompas.com/crops/agGJ3o2lK5eMmT-VkGdijGLjgpQ=/0x0:1000x667/750x500/data/photo/2020/10/26/5f965ccbd7c1a.jpg,https://cookpad.com/id/resep/22612835-bubur-ketan-hitam?ref=search&search_term=ketan%20hitam%20matang
756,163.0,3.0,0.4,35.7,Ketan putih matang,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2018/10/13/211488655.jpg,https://cookpad.com/id/resep/17153113-bubur-ketan-putih?ref=search&search_term=ketan%20putih%20matang
757,340.0,11.0,11.0,54.0,Ketapang ,https://cdn0-production-images-kly.akamaized.net/bEFvWpDkZsFCndvlKQ2liamvXwM=/0x287:3046x2004/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3989958/original/069432700_1649474910-biji_ketapang.jpg,https://cookpad.com/id/resep/22551344-biji-ketapang-renyah-empuk-donk-tanpa-telur?ref=search&search_term=ketapang
763,153.0,7.9,7.7,13.0,Ketoprak,https://asset.kompas.com/crops/BiN_oCxCDgkO09b1B_FPfZuvGBw=/0x0:739x493/750x500/data/photo/2020/01/29/5e318845429db.jpg,https://cookpad.com/id/resep/17270335-ketoprak-ala-abang?ref=search&search_term=ketoprak
765,212.0,4.0,4.6,38.6,Ketupat ketan,https://awsimages.detik.net.id/community/media/visual/2022/05/01/ketupat-ketan-khas-sumatra-2.jpeg?w=1200,https://cookpad.com/id/resep/22528997-ketupat-ketan?ref=search&search_term=ketupat%20ketan
766,109.6,2.6,2.6,18.6,Ketupat Tahu ,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2021/06/09/resep-kupat-tahu-menu-sarapan-n-20210609032448.jpg,https://cookpad.com/id/resep/16911876-tahu-campur-kupat?ref=search&search_term=ketupat%20tahu
793,440.0,3.8,18.5,64.5,Kue ali,https://awsimages.detik.net.id/community/media/visual/2022/06/21/resep-kue-cincin_43.jpeg?w=1200,https://cookpad.com/id/resep/16738988-kue-cincin-kue-ali-tanpa-santan?ref=search&search_term=kue%20ali
794,186.7,1.6,1.6,39.6,Kue Apem ,https://cdn0-production-images-kly.akamaized.net/1vXhapwViv08dtFYbhhKKEfqiJ0=/0x542:4608x3139/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3479555/original/004272600_1623394884-shutterstock_1952418853.jpg,https://cookpad.com/id/resep/22670959-apem-jawa-tape-singkong?ref=search&search_term=apem
795,338.0,1.5,1.2,80.3,Kue bangket,https://asset.kompas.com/crops/1zdz3_jE_GfEVcRZKtgL2GokVrA=/0x0:1000x667/750x500/data/photo/2023/02/24/63f805fb8890f.jpeg,https://cookpad.com/id/resep/17276488-kue-bangket-sagu-susu-ala-fe?ref=search&search_term=bangket
796,240.0,1.0,4.0,54.0,Kue Bugis ,https://asset.kompas.com/crops/hHVyMg5BiDHITqTbKdbpz1Un4_c=/0x0:1000x667/750x500/data/photo/2022/06/21/62b109f77f78c.jpeg,https://cookpad.com/id/resep/16957790-bugis-ubi-ungu?ref=search&search_term=bugis
797,425.0,1.6,8.8,84.6,Kue jahe,https://kurio-img.kurioapps.com/21/07/21/7ff9c395-9dea-492e-b3a0-ec9c7287dc04.jpe,https://cookpad.com/id/resep/16241948-gingerbread-coffee?ref=search&search_term=kue%20jahe
